FrameCounter,Timestamp,LedState,Region0G,Region1R
0,5925.549568,0,0.00392156862745098,0.00392156862745098
1,5925.566208,1,0.243511891972299,0.115677527899116
2,5925.58288,2,0.0406282884044317,0.0347775531099346
3,5925.59952,1,0.243065633109102,0.115537582128102
4,5925.616192,2,0.0406437146367398,0.0347240444327823
5,5925.632864,1,0.240791365717402,0.113632879024084
6,5925.649536,2,0.0385777013811987,0.0328440376412963
7,5925.666208,1,0.240665752111466,0.113526890682802
8,5925.682848,2,0.038563377022627,0.0327925869901884
9,5925.69952,1,0.24040901553091,0.113581428372976
10,5925.716192,2,0.038643813805376,0.0328152252766759
11,5925.732864,1,0.240189742657389,0.113518658578624
12,5925.749536,2,0.0386394063104309,0.0327915579771662
13,5925.766176,1,0.240042091576726,0.113397235042009
14,5925.782848,2,0.0385402376741649,0.032770977716723
15,5925.79952,1,0.239958349172768,0.1133735677425
16,5925.816192,2,0.0385523582852641,0.0327246721307258
17,5925.832864,1,0.239777641880017,0.113294333739793
18,5925.849536,2,0.0385336264317472,0.0327750937688116
19,5925.866176,1,0.239666352632652,0.113277869531439
20,5925.882848,2,0.0385126908307577,0.0327627456125457
21,5925.89952,1,0.239653130147816,0.113337552286724
22,5925.916192,2,0.0384300503005361,0.0327658326516122
23,5925.932864,1,0.239405208557151,0.113210983684999
24,5925.949536,2,0.0383903828460297,0.0327359912739696
25,5925.966176,1,0.239405208557151,0.113243912101708
26,5925.982848,2,0.0384002997096563,0.0326721924665957
27,5925.99952,1,0.239304938047149,0.113241854075663
28,5926.016192,2,0.0383738547399854,0.0327370202869917
29,5926.032832,1,0.239227806885609,0.113157475007846
30,5926.049536,2,0.0383870772248208,0.0327123239744599
31,5926.066176,1,0.239145166355387,0.113213041711043
32,5926.082848,2,0.0383661416238313,0.0326711634535735
33,5926.09952,1,0.239072442688792,0.113169823164112
34,5926.11616,2,0.0383485116440507,0.032770977716723
35,5926.132832,1,0.238982089042417,0.11316879415109
36,5926.149504,2,0.0383033348208629,0.0327812678469446
37,5926.166176,1,0.238946829082855,0.113193490463622
38,5926.182848,2,0.0382647692400928,0.0328759370449833
39,5926.19952,1,0.23880578924461,0.113198635528733
40,5926.21616,2,0.0382074718058058,0.0328409506022299
41,5926.232832,1,0.238832234214281,0.113157475007846
42,5926.249504,2,0.0383242704218524,0.0327843548860111
43,5926.266176,1,0.238652628795266,0.113203780593843
44,5926.282848,2,0.0382295092805315,0.0326979177921497
45,5926.29952,1,0.238907161628349,0.113310797948148
46,5926.31616,2,0.0382857048410823,0.0328759370449833
47,5926.332832,1,0.238820113603182,0.113203780593843
48,5926.349504,2,0.0382790935986645,0.0328831401361384
49,5926.366176,1,0.23872865808307,0.113079270018162
50,5926.382848,2,0.0382162867956961,0.0328121382376094
51,5926.399488,1,0.238557867653946,0.113096763239539
52,5926.41616,2,0.0381975549421792,0.0328460956673407
53,5926.432832,1,0.238507181462076,0.11314512685158
54,5926.449504,2,0.0382526486289936,0.0328347765240969
55,5926.466176,1,0.238586516371089,0.113300507817926
56,5926.482816,2,0.038200860563388,0.032848153693385
57,5926.499488,1,0.238387077224821,0.113125575604159
